Cause,SBP_Category,RR,CI_lower,CI_upper
Major cardiovascular events,<120,0.6241,0.5184,0.7569
Major cardiovascular events,120-129,0.8281,0.7225,0.9604
Major cardiovascular events,130-139,0.8836,0.7921,0.9801
Major cardiovascular events,140-149,0.8649,0.7744,0.9604
Major cardiovascular events,150-159,0.7744,0.6889,0.8836
Major cardiovascular events,160-169,0.7569,0.6889,0.8464
Major cardiovascular events,>=170,0.81,0.7396,0.8836
Stroke,<120,0.6241,0.4225,0.9409
Stroke,120-129,0.7396,0.5476,0.9801
Stroke,130-139,0.8464,0.6889,1.0404
Stroke,140-149,0.81,0.6724,0.9801
Stroke,150-159,0.5929,0.4225,0.8464
Stroke,160-169,0.7396,0.6241,0.8836
Stroke,>=170,0.81,0.7056,0.9409
Coronary heart disease,<120,0.6889,0.5184,0.9025
Coronary heart disease,120-129,0.9025,0.7396,1.1025
Coronary heart disease,130-139,0.9216,0.7744,1.0816
Coronary heart disease,140-149,0.8836,0.7569,1.0404
Coronary heart disease,150-159,0.8281,0.6889,0.9801
Coronary heart disease,160-169,0.7569,0.64,0.9025
Coronary heart disease,>=170,0.8836,0.7744,1.0201
Heart failure,<120,0.6084,0.4096,0.9216
Heart failure,120-129,0.9801,0.7225,1.3225
Heart failure,130-139,0.7225,0.5625,0.9409
Heart failure,140-149,0.9025,0.7225,1.1449
Heart failure,150-159,0.7744,0.6084,1
Heart failure,160-169,0.49,0.3721,0.64
Heart failure,>=170,0.7921,0.6241,1
Cardiovascular death,<120,0.81,0.5184,1.2544
Cardiovascular death,120-129,0.7921,0.5776,1.1025
Cardiovascular death,130-139,0.9604,0.7569,1.2321
Cardiovascular death,140-149,0.9409,0.7396,1.21
Cardiovascular death,150-159,1,0.7744,1.2996
Cardiovascular death,160-169,0.81,0.6724,0.9801
Cardiovascular death,>=170,0.9025,0.7744,1.0404
All-cause death,<120,0.7744,0.6084,1
All-cause death,120-129,1,0.8281,1.21
All-cause death,130-139,0.9604,0.8281,1.1025
All-cause death,140-149,0.9801,0.8464,1.1236
All-cause death,150-159,0.9025,0.7225,1.1449
All-cause death,160-169,0.8836,0.7744,1
All-cause death,>=170,0.9409,0.8649,1.0404
