scenario_id,location,sex,subgroup,baseline_year,scaleup_start_year,target_year,population_2025,htn_population_2025,diabetes_share_among_htn_assumed,baseline_control,target_control,annual_control_increment,controlled_2025,controlled_2030,additional_controlled_2030,allocation_method,control_gap_requested,control_gap_used
baseline,Afghanistan,Female,htn_no_diabetes,2025,2026,2030,10656400,2758312.57905498,0.288116944917646,0.130085711511268,0.130085711511268,0,358817.054416848,358817.054416848,0,inactive_at_baseline,0.15,0.15
baseline,Afghanistan,Male,htn_no_diabetes,2025,2026,2030,10584668.5,2239824.0290957,0.206915093397397,0.067564526875106,0.067564526875106,0,151332.650809345,151332.650809345,0,inactive_at_baseline,0.15,0.15
baseline,Albania,Female,htn_no_diabetes,2025,2026,2030,1119803,344300.42541648,0.296321263909921,0.0709776577476778,0.0709776577476778,0,24437.6377575908,24437.6377575908,0,inactive_at_baseline,0.15,0.15
baseline,Albania,Male,htn_no_diabetes,2025,2026,2030,1063013.5,347988.140399332,0.23311824821873,0.0182072758909353,0.0182072758909353,0,6335.91607902415,6335.91607902415,0,inactive_at_baseline,0.15,0.15
baseline,Algeria,Female,htn_no_diabetes,2025,2026,2030,14751664,2996350.05922519,0.378580542968894,0.147025627784635,0.147025627784635,0,440540.248520112,440540.248520112,0,inactive_at_baseline,0.15,0.15
baseline,Algeria,Male,htn_no_diabetes,2025,2026,2030,15328527.5,3434984.22066707,0.27594218781711,0.0695735713839626,0.0695735713839626,0,238984.119879365,238984.119879365,0,inactive_at_baseline,0.15,0.15
baseline,Andorra,Female,htn_no_diabetes,2025,2026,2030,34136.5,7496.5846599565,0.298406149800026,0.329783553948763,0.329783553948763,0,2472.25033163824,2472.25033163824,0,inactive_at_baseline,0.15,0.15
baseline,Andorra,Male,htn_no_diabetes,2025,2026,2030,35615.5,10238.8552138139,0.261162859582898,0.259103133669997,0.259103133669997,0,2652.91947109258,2652.91947109258,0,inactive_at_baseline,0.15,0.15
baseline,Angola,Female,htn_no_diabetes,2025,2026,2030,9454084.5,2197376.29436801,0.276026424413656,0.0927370092815696,0.0927370092815696,0,203778.105805907,203778.105805907,0,inactive_at_baseline,0.15,0.15
baseline,Angola,Male,htn_no_diabetes,2025,2026,2030,8954924.5,1835347.88723527,0.263834825544535,0.0529614614927065,0.0529614614927065,0,97202.7064555309,97202.7064555309,0,inactive_at_baseline,0.15,0.15
baseline,Antigua and Barbuda,Female,htn_no_diabetes,2025,2026,2030,38630,10968.1461042655,0.355415158778058,0.22070126115299,0.22070126115299,0,2420.68367772164,2420.68367772164,0,inactive_at_baseline,0.15,0.15
baseline,Antigua and Barbuda,Male,htn_no_diabetes,2025,2026,2030,33803.5,9609.05405586035,0.298166557675434,0.136628967501129,0.136628967501129,0,1312.87513431473,1312.87513431473,0,inactive_at_baseline,0.15,0.15
baseline,Argentina,Female,htn_no_diabetes,2025,2026,2030,16991234.5,4778029.74786443,0.315857537146284,0.147009872700032,0.147009872700032,0,702417.544990518,702417.544990518,0,inactive_at_baseline,0.15,0.15
baseline,Argentina,Male,htn_no_diabetes,2025,2026,2030,16332211,6309732.35914544,0.245154637778431,0.0731257388992433,0.0731257388992433,0,461403.841018976,461403.841018976,0,inactive_at_baseline,0.15,0.15
baseline,Armenia,Female,htn_no_diabetes,2025,2026,2030,1237586,349700.642120324,0.416766981424112,0.0380083099225272,0.0380083099225272,0,13291.5303858161,13291.5303858161,0,inactive_at_baseline,0.15,0.15
baseline,Armenia,Male,htn_no_diabetes,2025,2026,2030,999336.5,313322.614081779,0.328133741934919,0.0235537714835308,0.0235537714835308,0,7379.92925270475,7379.92925270475,0,inactive_at_baseline,0.15,0.15
baseline,Australia,Female,htn_no_diabetes,2025,2026,2030,10622094.5,2217823.97452115,0.328767459149663,0.221144439483557,0.221144439483557,0,490459.439718674,490459.439718674,0,inactive_at_baseline,0.15,0.15
baseline,Australia,Male,htn_no_diabetes,2025,2026,2030,10251233.5,2608461.97338969,0.265291708032925,0.20887749157973,0.20887749157973,0,544848.993882752,544848.993882752,0,inactive_at_baseline,0.15,0.15
baseline,Austria,Female,htn_no_diabetes,2025,2026,2030,3829405,989923.583204595,0.332288306457589,0.220946939248543,0.220946939248543,0,218720.585799005,218720.585799005,0,inactive_at_baseline,0.15,0.15
baseline,Austria,Male,htn_no_diabetes,2025,2026,2030,3647096.5,1096560.36239071,0.286684581934179,0.231940464922039,0.231940464922039,0,254336.720267981,254336.720267981,0,inactive_at_baseline,0.15,0.15
baseline,Azerbaijan,Female,htn_no_diabetes,2025,2026,2030,3950832,1004878.05415193,0.36572520475046,0.123234548410083,0.123234548410083,0,123835.693210616,123835.693210616,0,inactive_at_baseline,0.15,0.15
baseline,Azerbaijan,Male,htn_no_diabetes,2025,2026,2030,3600166,873264.569574518,0.323697792995275,0.0396143662099455,0.0396143662099455,0,34593.8224572954,34593.8224572954,0,inactive_at_baseline,0.15,0.15
baseline,Bahamas,Female,htn_no_diabetes,2025,2026,2030,164326,47897.4794380907,0.326027315326277,0.226475126470149,0.226475126470149,0,10847.587713343,10847.587713343,0,inactive_at_baseline,0.15,0.15
baseline,Bahamas,Male,htn_no_diabetes,2025,2026,2030,144907,45233.3146263358,0.288191586856383,0.126218217261114,0.126218217261114,0,5709.26833294715,5709.26833294715,0,inactive_at_baseline,0.15,0.15
baseline,Bahrain,Female,htn_no_diabetes,2025,2026,2030,439854,73100.2256530705,0.386080035007626,0.186712974582785,0.186712974582785,0,13648.7605743576,13648.7605743576,0,inactive_at_baseline,0.15,0.15
baseline,Bahrain,Male,htn_no_diabetes,2025,2026,2030,828704,191772.750831934,0.268169590441785,0.124074239993756,0.124074239993756,0,23794.0583109842,23794.0583109842,0,inactive_at_baseline,0.15,0.15
baseline,Bangladesh,Female,htn_no_diabetes,2025,2026,2030,59223138.5,13641075.5575192,0.219874659115649,0.117667144030192,0.117667144030192,0,1605106.40235334,1605106.40235334,0,inactive_at_baseline,0.15,0.15
baseline,Bangladesh,Male,htn_no_diabetes,2025,2026,2030,54363605,8806315.99863917,0.215322552979708,0.108153543737481,0.108153543737481,0,952434.282524899,952434.282524899,0,inactive_at_baseline,0.15,0.15
baseline,Barbados,Female,htn_no_diabetes,2025,2026,2030,116219.5,33685.3691628895,0.397122004010239,0.317851986363151,0.317851986363151,0,10706.9614998005,10706.9614998005,0,inactive_at_baseline,0.15,0.15
baseline,Barbados,Male,htn_no_diabetes,2025,2026,2030,103510.5,28483.1016797837,0.341958504975447,0.237384895347905,0.237384895347905,0,6761.45811143919,6761.45811143919,0,inactive_at_baseline,0.15,0.15
baseline,Belarus,Female,htn_no_diabetes,2025,2026,2030,3909680,1315356.34965957,0.380107069411175,0.0797914349113647,0.0797914349113647,0,104954.170559112,104954.170559112,0,inactive_at_baseline,0.15,0.15
baseline,Belarus,Male,htn_no_diabetes,2025,2026,2030,3241931.5,1209813.43165851,0.280198360573235,0.0239403892592678,0.0239403892592678,0,28963.4044849952,28963.4044849952,0,inactive_at_baseline,0.15,0.15
baseline,Belgium,Female,htn_no_diabetes,2025,2026,2030,4782953,1054896.60305826,0.363411341036508,0.368649991968676,0.368649991968676,0,388887.62424521,388887.62424521,0,inactive_at_baseline,0.15,0.15
baseline,Belgium,Male,htn_no_diabetes,2025,2026,2030,4571695.5,1215748.91503935,0.308042053060249,0.300976051202218,0.300976051202218,0,365911.307701924,365911.307701924,0,inactive_at_baseline,0.15,0.15
baseline,Belize,Female,htn_no_diabetes,2025,2026,2030,140619,29880.4507119797,0.304688567556802,0.221386629728861,0.221386629728861,0,6615.13227790452,6615.13227790452,0,inactive_at_baseline,0.15,0.15
baseline,Belize,Male,htn_no_diabetes,2025,2026,2030,141068,33958.6655836703,0.24518325621494,0.122433270720606,0.122433270720606,0,4157.67049671603,4157.67049671603,0,inactive_at_baseline,0.15,0.15
baseline,Benin,Female,htn_no_diabetes,2025,2026,2030,3738262,604953.322453641,0.300504265431333,0.0571435262733831,0.0571435262733831,0,34569.1660758001,34569.1660758001,0,inactive_at_baseline,0.15,0.15
baseline,Benin,Male,htn_no_diabetes,2025,2026,2030,3683484.5,657343.172812682,0.21200580430093,0.0491184658253721,0.0491184658253721,0,32287.6881693414,32287.6881693414,0,inactive_at_baseline,0.15,0.15
baseline,Bhutan,Female,htn_no_diabetes,2025,2026,2030,267843.5,76163.29133124,0.230571096323801,0.0726189313713038,0.0726189313713038,0,5530.89682619594,5530.89682619594,0,inactive_at_baseline,0.15,0.15
baseline,Bhutan,Male,htn_no_diabetes,2025,2026,2030,314056.5,98223.854913506,0.20223139413412,0.0390414278312598,0.0390414278312598,0,3834.79954291378,3834.79954291378,0,inactive_at_baseline,0.15,0.15
baseline,Bolivia,Female,htn_no_diabetes,2025,2026,2030,3989287,609573.14461524,0.288227077816936,0.293758218319368,0.293758218319368,0,179067.120897507,179067.120897507,0,inactive_at_baseline,0.15,0.15
baseline,Bolivia,Male,htn_no_diabetes,2025,2026,2030,3933289,725874.361307111,0.233818868809144,0.158020611299355,0.158020611299355,0,114703.110300279,114703.110300279,0,inactive_at_baseline,0.15,0.15
