location,iso3,year,pop_40plus_2025,diabetes_prev_2025,diabetes_pop_40plus_2025,statins_baseline_2025,statins_target_2030,prim_prev_ihd_2025,prim_prev_istroke_2025,prim_prev_total_2025,sec_prev_ihd_2025,sec_prev_istroke_2025,sec_prev_total_2025,total_eligible_2025
Afghanistan,AFG,2025,7395164.5,0.05967259,441288.619191055,0.00628743205204251,0.8,,,,,,,
Albania,ALB,2025,1357296,0.02849345,38674.0457112,0.0333089610428227,0.8,,,,,,,
Algeria,DZA,2025,17108115,0.05273935,902270.86482525,0.0375667880223009,0.8,,,,,,,
American Samoa,,2025,18085,0.0558334283333333,1009.74755140833,0.00933301165236181,0.8,,,,,,,
Andorra,,2025,48778,0.04890724,2385.59735272,0.301935430094628,0.8,,,,,,,
Angola,AGO,2025,7359354.5,0.0699959,515124.64164655,0.0112422368502029,0.8,,,,,,,
Anguilla,,2025,7524,,,,0.8,,,,,,,
Antigua and Barbuda,ATG,2025,44707,0.0558334283333333,2496.14508049833,0.0976286491846526,0.8,,,,,,,
Argentina,ARG,2025,19527549,0.03960288,773347.17974112,0.0611417727295231,0.8,,,,,,,
Armenia,ARM,2025,1408675.5,0.05040739,71007.655311945,0.0214724221568752,0.8,,,,,,,
Aruba,,2025,58809,,,,0.8,,,,,,,
Australia,AUS,2025,13589624,0.03122978,424400.96780272,0.190579135948652,0.8,,,,,,,
Austria,AUT,2025,5262891.5,0.04354227,229158.242673705,0.225636910704613,0.8,,,,,,,
Azerbaijan,AZE,2025,4370124.5,0.04908308,214499.17044346,0.0477650817263519,0.8,,,,,,,
Bahamas,,2025,185050,0.0558334283333333,10331.9759130833,0.129259987938148,0.8,,,,,,,
Bahrain,BHR,2025,617178,0.05717112,35284.75749936,0.118219866161401,0.8,,,,,,,
Bangladesh,BGD,2025,55277329,0.04695712,2595664.17113248,0.0101577512170911,0.8,,,,,,,
Barbados,BRB,2025,146584,0.06179104,9057.57780736,0.0976197824475355,0.8,,,,,,,
