who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Africa,all_interventions,8645549216.23948,0.00123036238334261,45244394388.8349,0.00616861103524776,42213395365.9164,0.00487138159062279,51944332274.5118,0.00512625013807007,1024576409503.68,0.00485273146272747
Americas,all_interventions,159372055693.647,0.00390469524346091,765617889692.313,0.0194526541950497,663239857582.539,0.0187329700362581,610049613081.101,0.0194544751529122,15627634589885.7,0.0172831109590603
Eastern Mediterranean,all_interventions,28677516844.8263,0.00266247615492041,167933659188.19,0.0149330297099664,173370508704.044,0.0141485907019318,208288511407.186,0.0160835353171723,4067794765478.25,0.0135728255190555
Europe,all_interventions,291873548199.835,0.00696547316496443,1363146515565.18,0.033963904375472,909049401732.06,0.0258055912626941,731702504139.663,0.0244730183269545,22874746839299.1,0.0253399597762235
South-East Asia,all_interventions,61924601084.1347,0.00268561113195236,305821299362.184,0.0120717776217265,283245912183.068,0.00986488320128484,336162314755.298,0.0112545789953583,6797985208838.17,0.00986255213804415
Western Pacific,all_interventions,201377315942.378,0.00434587593144747,1326216597731.44,0.0282838588395557,1319076082811.69,0.0300868055758941,1317451889222.09,0.0345140109880387,30118618182052.6,0.0274534787957336
World,all_interventions,751870586981.061,0.00442506643866241,3973980355928.14,0.0233356316002881,3390195158379.32,0.0206585916926366,3255599164879.85,0.0213650014321903,80511355995057.6,0.0196172281099155
Africa,bp_combined,4459498095.90593,0.000634638536957775,26872188944.2295,0.00366374848203391,42040240579.8102,0.00485139970975171,57477682738.2021,0.00567232200648065,935329869677.787,0.00443003044430125
Americas,bp_combined,121113243685.804,0.00296733517354593,691121243228.521,0.017559859470865,891458580528.472,0.025178925371696,890280114631.005,0.0283910226280533,19239276926617.4,0.0212773440524405
Eastern Mediterranean,bp_combined,12984891544.1385,0.00120554245674635,87274770747.8805,0.00776066424568363,141726872923.559,0.0115661858031645,188317472406.324,0.0145414199651496,3104254851369.71,0.0103578257737811
Europe,bp_combined,165147901258.23,0.00394120426999711,944663276868.758,0.0235370540409502,1033126146382.69,0.0293278132140633,907699607095.952,0.030359536825623,22658474327622.1,0.0251003795620642
South-East Asia,bp_combined,26849189747.7852,0.00116442385753256,163794817951.132,0.00646552291165154,241574830647.983,0.00841356357218057,310650029462.108,0.0104004379522335,5323945629803.77,0.00772400788483416
Western Pacific,bp_combined,108963418657.269,0.00235151360685707,642202740903.126,0.0136960822999427,887575392411.44,0.0202447065892583,951607234727.156,0.024929777568624,19005012652263,0.0173232951361778
World,bp_combined,439518142989.133,0.00258674433792344,2555929038643.65,0.0150086847694889,3237502063473.95,0.0197281366142207,3306032141060.75,0.0216959698818564,70266294257353.8,0.0171209378583758
Africa,bp_diabetes_only,3118585800.73792,0.000443811094296599,19625286285.5184,0.00267570732653281,31872574486.7915,0.00367806169711881,44087554368.6264,0.00435088529918863,706745294782.825,0.00334737858134815
