who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Africa,all_interventions,4340930307.0096,0.000617764959156595,23949983858.9339,0.00326533566692371,33846834532.7913,0.00390588923763811,46792802117.9275,0.00461785911598699,769376577429.829,0.00364402097232348
Americas,all_interventions,135174246712.747,0.00331183679523006,736760674460.688,0.0187194562950391,897184010266.314,0.0253406380650716,881772955623.416,0.0281197294250315,19566148326524.5,0.021638841798081
Eastern Mediterranean,all_interventions,18579627352.9118,0.00172496855505672,115574356157.313,0.0102771255181985,179485764901.742,0.0146476505341111,242544390649.62,0.0187286914993076,3971386712263.17,0.0132511451589682
Europe,all_interventions,228111641250.599,0.00544381471204501,1198107076397.79,0.0298518124865539,1216221414546.88,0.0345254203445185,1067905082608.21,0.0357178778400492,27176897077801.5,0.0301057530224084
South-East Asia,all_interventions,31796264318.6493,0.00137897378285319,188580205237.607,0.00744388407947964,261280965360.651,0.00909988845429789,349027580186.646,0.0116853029038332,5878155823087.49,0.00852805890271367
Western Pacific,all_interventions,133930860839.596,0.0028903300348257,783879189283.113,0.0167175771852605,1049871225109.73,0.0239465121392178,1162401073884.42,0.0304520595892451,22772697188479.6,0.0207575844152814
World,all_interventions,551933570781.513,0.00324835518602072,3046851485395.45,0.017891433131499,3637890214718.11,0.0221679534827802,3750443885070.23,0.0246124399589075,80134661705586.1,0.0195254435695493
Africa,bp_combined,2304847893.18035,0.00032800670913641,13946026166.0824,0.0019013982188958,22617711893.5209,0.00261006025184764,32138961305.6372,0.00317170993670261,505130187743.38,0.00239246300431918
Americas,bp_combined,105576360961.385,0.00258667375954707,593580422937.029,0.0150815633487689,749555480286.545,0.0211709235990442,732762725380.159,0.0233677948944021,16192457219461.7,0.0179077667329717
Eastern Mediterranean,bp_combined,8896832228.84176,0.000825999119512054,61833048042.1929,0.00549833039984626,110507334324.256,0.00901839104356834,154220011067.012,0.011908496430521,2409513103853.32,0.00803971262808631
Europe,bp_combined,134073006423.985,0.00319961138702769,769246275960.28,0.0191663967589503,872654184163.271,0.0247724239708973,781665274555.291,0.0261441070400987,19009402090160.3,0.0210580465750623
South-East Asia,bp_combined,14212451967.9588,0.000616380542615517,90677732068.0886,0.00357934983289729,146222814079.062,0.00509264536647869,201448791673.381,0.00674442446369371,3223049309726.87,0.00467601662612344
Western Pacific,bp_combined,75971797434.2079,0.00163952928060973,452184070057.662,0.0096436060511411,643581239035.966,0.0146794440923332,716206263303.71,0.0187628489841569,13798714649701.4,0.0125776925672404
World,bp_combined,341035296909.558,0.00200713244125318,1981467575231.34,0.0116353864946862,2545138763782.62,0.0155091315000351,2618442027285.19,0.0171836318999424,55138266560646.9,0.0134348743644553
Africa,bp_diabetes_only,1611734651.65412,0.000229368619358526,10182945491.8183,0.00138834060618253,17141782351.6012,0.00197814372083121,24644410760.9116,0.00243209236761656,381667531992.703,0.00180770318701728
Americas,bp_diabetes_only,60452811208.9893,0.00148112417421111,358207849213.087,0.00910126776621561,482937521931.412,0.0136403957396363,477297778450.092,0.0152210206715811,10303073301766,0.0113945049117671
Eastern Mediterranean,bp_diabetes_only,6103291221.71749,0.000566641366903757,44021010619.4009,0.00391444492200102,81619843242.5735,0.00666091230756173,117051176518.241,0.00903840888164682,1782911892561.39,0.00594896090603028
Europe,bp_diabetes_only,87348206306.4861,0.00208453828991396,520021618250.477,0.0129567616641081,603984444392.428,0.0171455761054561,543166133866.091,0.0181671029871843,13090580770944,0.0145013535018991
South-East Asia,bp_diabetes_only,9349786454.00584,0.000405491357919925,61830049313.2038,0.00244063643443428,104689856926.057,0.00364613633070647,145918685596.198,0.0048852988626542,2296381309032.15,0.00333160189282471
Western Pacific,bp_diabetes_only,40974806131.2634,0.000884267539907705,254250238933.244,0.00542232534279247,381086260340.631,0.00869219628186521,428660313845.896,0.0112298497601678,8102941414977.04,0.00738592750087391
World,bp_diabetes_only,205840635974.116,0.00121145647367228,1248513711821.23,0.0073314041382985,1671459709184.7,0.0101852554350431,1736738499037.43,0.0113974167703302,35957556221273.3,0.00876134271929456
Africa,bp_no_diabetes_only,693113241.526081,9.8638089777862e-05,3765601120.24332,0.00051340124977795,5458529097.14319,0.000629908537922816,7429943201.59198,0.000733241639563874,123012607811.972,0.000582628241978048
Americas,bp_no_diabetes_only,45123549752.4078,0.00110554958533625,236148528390.303,0.00600001087134022,267875471845.824,0.00756604587339932,256154935492.081,0.00816877795013701,5913368325739.83,0.00653978696057428
