valuation_type,elasticity_case,who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
VSL,e1_2_primary,Africa,all_interventions,8549343360.01371,0.00121667116910083,45302211509.0252,0.0061764938090245,58977989857.2192,0.00680599822762346,78664998819.1048,0.00776324275238762,1351225377656.01,0.00639984860334965
VSL,e1_2_primary,Americas,all_interventions,170403793084.872,0.00417497833876983,882969100915.437,0.0224342884567713,1002925875008.24,0.0283272788122194,994265783035.971,0.0317071243989013,22276209839684.5,0.0246359872437608
VSL,e1_2_primary,Eastern Mediterranean,all_interventions,27834998787.2617,0.00258425514818216,155907226035.345,0.01386361286736,206552812478.805,0.0168565647291505,265649241087.801,0.020512792194588,4660369000842.95,0.015550040980354
VSL,e1_2_primary,Europe,all_interventions,276733516429.35,0.00660416092661858,1379707610304.13,0.0343765375235922,1315219373143.96,0.0373357195983652,1139992824436.14,0.0381289733562221,29820536317646.8,0.0330342974330261
VSL,e1_2_primary,South-East Asia,all_interventions,57403519579.1859,0.00248953612128483,309178776854.775,0.0122043083569796,367610348403.119,0.0128031261691662,459126149793.489,0.0153713587004746,8409923810009.96,0.0122011610065533
VSL,e1_2_primary,Western Pacific,all_interventions,208644473325.262,0.00450270672548463,1175282559996.61,0.0250649298767615,1446303025871.13,0.0329887248432689,1520051475458.94,0.0398216236627446,31719118252225.9,0.0289123536509304
VSL,e1_2_primary,World,all_interventions,749569644565.945,0.00441152444987507,3948347485615.32,0.0231851126835084,4397589424762.47,0.02679727865621,4457750472631.44,0.0292541680989258,98237382598066.1,0.0239363145674209
VSL,e1_2_primary,Africa,bp_combined,4249280153.41053,0.000604722074477383,25105502305.2989,0.00342287880427728,40317083672.1218,0.0046525492082674,56235154817.0084,0.00554970017944639,896512868684.571,0.00424618033779748
VSL,e1_2_primary,Americas,bp_combined,129001920412.526,0.00316061170723916,692382171986.004,0.0175918968767487,829052297439.538,0.0234162824638341,822886124259.485,0.0262418290493271,18183529923676.1,0.0201097589971603
VSL,e1_2_primary,Eastern Mediterranean,bp_combined,12121288464.5267,0.00112536387576166,77192786269.2324,0.00686415204864779,122520856995.131,0.00999880239743212,164885824782.451,0.0127320847812163,2702964891910.87,0.00901885984351661
VSL,e1_2_primary,Europe,bp_combined,152808710472.588,0.00364673324710084,842912490200.436,0.0210018504153156,938338252148.084,0.026637026937092,841543608516.37,0.0281468384181196,20521725191049.6,0.0227333528337244
VSL,e1_2_primary,South-East Asia,bp_combined,25366310111.2754,0.00110011277616208,148024616670.472,0.00584302093645546,213038113070.621,0.00741968731928418,276130179155.897,0.00924472725794586,4724372145252.47,0.0068541435691119
VSL,e1_2_primary,Western Pacific,bp_combined,107673204135.239,0.00232366979430324,624119016647.072,0.0133104156561783,851949013569.376,0.0194321045357744,912716564970.903,0.0239109373253631,18324050883360.8,0.0167025903823854
VSL,e1_2_primary,World,bp_combined,431220713749.566,0.00253791056747019,2409736584078.52,0.0141502272641858,2995215616894.87,0.0182517328856136,3074397456502.11,0.0201758578789026,65353155903934.4,0.0159238128736654
VSL,e1_2_primary,Africa,bp_diabetes_only,2962329205.28736,0.000421573960207947,18295270713.22,0.00249437328842364,29312090453.5859,0.00338258452276879,40873148808.9378,0.00403366403129195,653171134652.976,0.00309363370684215
VSL,e1_2_primary,Americas,bp_diabetes_only,73518746254.8834,0.0018012461316209,411220609000.622,0.0104482045318737,525252311651.761,0.0148355616797702,527970776991.109,0.0168369820129232,11376450288650.9,0.012581587541485
