who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Africa,all_interventions,5101780244.54198,0.000726042769980926,37054176319.6077,0.00505195845882632,57826410166.7345,0.0066731071380597,81996175246.3644,0.00809198783144516,1301831468404.09,0.00616590277435091
Americas,all_interventions,44964855323.4706,0.00109918653547941,253140549937.442,0.00641769279903342,297981921776.015,0.00840010254241939,305275877274.857,0.00971938677925196,6599424467687.23,0.00728401160142601
Eastern Mediterranean,all_interventions,15454151847.5752,0.00143479336134054,99065414255.4608,0.00880911415530545,156652267575.923,0.0127842320647787,206624048286.33,0.0159550094987892,3450249992394.93,0.0115122920018786
Europe,all_interventions,131091481295.725,0.00312845819962977,732028780175.896,0.0182390925744906,746060505909.392,0.0211787527015074,671711135556.745,0.022466506316291,16848984986086.6,0.0186648011808427
South-East Asia,all_interventions,42494451138.7594,0.00184294398391686,318571111016.853,0.0125750548340563,476492672071.299,0.0165952776512214,585994585691.176,0.0196188628707961,10370685432399,0.0150458441203009
Western Pacific,all_interventions,105562181448.72,0.00227811231608803,746784627054.252,0.0159264715969344,986798656814.464,0.0225078899670783,1188633704608.85,0.0311392902292974,22436294352575.2,0.0204509492281522
World,all_interventions,344668901298.792,0.00202742110770104,2186644658759.51,0.0128337155566622,2721812434313.83,0.016578779363796,3040235526664.32,0.0199449723700236,61007470699547.1,0.014858432466648
Africa,bp_combined,2791312577.69893,0.000397236301575955,25004067276.1973,0.00340904917414677,43788160290.9324,0.00505310781280381,64006579604.2617,0.00631664174254367,974634936193.449,0.00461619218993186
Americas,bp_combined,22483981731.5566,0.000549631257690086,143058448478.196,0.00362685936672849,186832075374.276,0.00526679129392497,194660264001.031,0.00619760202891452,4053812103898.64,0.00447433174504488
Eastern Mediterranean,bp_combined,5972492962.52847,0.000554497803425781,46428990369.7546,0.00412856776864687,86558165673.2728,0.00706392377328574,121437416099.818,0.0093771036984817,1886446930562.43,0.0062944215516417
