who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
Africa,all_interventions,1795335057.64002,0.00025549709627092,9815660297.7737,0.00133826502153451,13593258948.7518,0.00156864783857172,18474669044.2398,0.00182321671281361,305352852177.603,0.00144625171851617
Americas,all_interventions,61876827837.4915,0.00151601329534167,307369993440.894,0.0078095904926455,315936536509.921,0.00892351327221462,299344090677.078,0.00954607961282998,7142659968557.11,0.00789930069514849
Eastern Mediterranean,all_interventions,8541020029.0474,0.000792964826385898,51213292413.766,0.00455399841137832,78363691557.5839,0.00639518108372961,97559448285.9597,0.00753330474844878,1704378741653.11,0.00568692291832604
Europe,all_interventions,81553936065.7187,0.00194625979869219,415429657130.708,0.0103507678656776,429446971836.802,0.0121909029400458,399036262225.383,0.0133464375252394,9681216483062.95,0.0107245618056092
South-East Asia,all_interventions,13409153872.2205,0.000581542267189893,76352503014.5725,0.00301388568806825,103300833546.12,0.00359775945104975,136592186053.455,0.00457305141180481,2323036566058.49,0.00337027347772806
Western Pacific,all_interventions,51852197039.0674,0.00111900992448044,324777593887.214,0.00692644296223524,409031501271.508,0.00932959926537365,488958641967.095,0.0128095181916005,9281490717130.44,0.00846018921105009
World,all_interventions,219028469901.185,0.0012890722792641,1184958700184.93,0.0069582024097886,1349672793670.69,0.00822440533967137,1439965298253.21,0.00944983061531764,30438135328639.7,0.00741649220290189
Africa,bp_combined,909196191.139038,0.000129389211104673,5296070811.67931,0.000722065159533676,8749064919.53179,0.00100963292373735,12479844350.3344,0.00123160316097443,192779910176.264,0.000913069173579061
Americas,bp_combined,48048042009.5509,0.00117720111142283,243639742373.371,0.00619034602034294,257388295106.043,0.00726983935718161,242141879068.027,0.00772190174175581,5767634851037.92,0.00637861555621136
Eastern Mediterranean,bp_combined,3796655588.68811,0.000352488851389206,24543495892.3384,0.0021824615453416,42991947114.853,0.0035085290327291,56574502743.4391,0.00436854633401626,925851998533.96,0.0030892481939395
Europe,bp_combined,43321654699.8945,0.00103385807016458,238899365599.108,0.00595237204212407,284223835398.412,0.00806838892301313,271444108810.108,0.00907890380594572,6212195916474.95,0.00688168466962227
South-East Asia,bp_combined,5847431031.34552,0.000253597529837436,35073917829.9466,0.00138448347858331,55472214076.4357,0.00193198520876454,76023007880.1471,0.00254521970517332,1221020976966.56,0.00177146355530779
Western Pacific,bp_combined,27929572586.3926,0.000602741459289037,174893711588.951,0.00372991037736172,235479333209.322,0.0053710479688998,285423360538.381,0.00747739259585512,5279005391820.58,0.00481187621925066
World,bp_combined,129852552107.011,0.000764235468514036,722346304095.394,0.00424169364980741,884304689824.597,0.00538862474445373,944086703390.437,0.00619560724417155,19598489045010.2,0.00477532672818537
